minute,outside_temp_c,outside_rh,outside_reference_wind_speed_m_s,outside_local_wind_speed_m_s,outside_wind_direction_deg,outside_co2_ppm,outside_direct_radiation_w_m2,outside_diffuse_radiation_w_m2,inside_temp_c,inside_rh,total_airflow_m3_s,average_airflow_m3_s,heater_gain_w,envelope_loss_w,ventilation_loss_w,damper_power_w,fan_power_w,heater_power_w,damper_resource_rate_per_hour,fan_resource_rate_per_hour,heater_resource_rate_per_hour
228,-10,0.8,4,3.48633,270,420,150,50,81.4015,0.0147306,0.0412334,0.0384476,35000,-34966.6,-4425.82,0,0,35000,0,0,35
229,-10,0.8,4,3.48633,270,420,150,50,81.4052,0.0147086,0.0412341,0.0384597,35000,-34968,-4426.05,0,0,35000,0,0,35
230,-10,0.8,4,3.48633,270,420,150,50,81.4087,0.0146867,0.0412348,0.0384717,35000,-34969.3,-4426.28,0,0,35000,0,0,35
231,-10,0.8,4,3.48633,270,420,150,50,81.4122,0.0146649,0.0412355,0.0384836,35000,-34970.6,-4426.51,0,0,35000,0,0,35
232,-10,0.8,4,3.48633,270,420,150,50,81.4155,0.0146432,0.0412362,0.0384954,35000,-34971.9,-4426.72,0,0,35000,0,0,35
233,-10,0.8,4,3.48633,270,420,150,50,81.4188,0.0146217,0.0412368,0.0385071,35000,-34973.2,-4426.93,0,0,35000,0,0,35
234,-10,0.8,4,3.48633,270,420,150,50,81.422,0.0146002,0.0412375,0.0385188,35000,-34974.4,-4427.14,0,0,35000,0,0,35
235,-10,0.8,4,3.48633,270,420,150,50,81.425,0.0145789,0.0412381,0.0385303,35000,-34975.6,-4427.34,0,0,35000,0,0,35
236,-10,0.8,4,3.48633,270,420,150,50,81.428,0.0145577,0.0412387,0.0385417,35000,-34976.7,-4427.53,0,0,35000,0,0,35
237,-10,0.8,4,3.48633,270,420,150,50,81.4309,0.0145366,0.0412393,0.038553,35000,-34977.8,-4427.72,0,0,35000,0,0,35
238,-10,0.8,4,3.48633,270,420,150,50,81.4338,0.0145156,0.0412399,0.0385643,35000,-34978.9,-4427.9,0,0,35000,0,0,35
239,-10,0.8,4,3.48633,270,420,150,50,81.4365,0.0144948,0.0412404,0.0385754,35000,-34980,-4428.08,0,0,35000,0,0,35
240,-10,0.8,4,3.48633,270,420,150,50,81.4392,0.014474,0.041241,0.0385865,35000,-34981,-4428.25,0,0,35000,0,0,35
241,-10,0.8,4,3.48633,270,420,150,50,81.4418,0.0144533,0.0412415,0.0385975,35000,-34982,-4428.42,0,0,35000,0,0,35
242,-10,0.8,4,3.48633,270,420,150,50,81.4443,0.0144328,0.041242,0.0386084,35000,-34982.9,-4428.59,0,0,35000,0,0,35
243,-10,0.8,4,3.48633,270,420,150,50,81.4468,0.0144123,0.0412425,0.0386191,35000,-34983.9,-4428.74,0,0,35000,0,0,35
244,-10,0.8,4,3.48633,270,420,150,50,81.4491,0.014392,0.041243,0.0386299,35000,-34984.8,-4428.9,0,0,35000,0,0,35
245,-10,0.8,4,3.48633,270,420,150,50,81.4515,0.0143717,0.0412434,0.0386405,35000,-34985.7,-4429.05,0,0,35000,0,0,35
246,-10,0.8,4,3.48633,270,420,150,50,81.4537,0.0143515,0.0412439,0.038651,35000,-34986.5,-4429.2,0,0,35000,0,0,35
247,-10,0.8,4,3.48633,270,420,150,50,81.4559,0.0143315,0.0412443,0.0386615,35000,-34987.4,-4429.34,0,0,35000,0,0,35
248,-10,0.8,4,3.48633,270,420,150,50,81.458,0.0143115,0.0412448,0.0386719,35000,-34988.2,-4429.48,0,0,35000,0,0,35
249,-10,0.8,4,3.48633,270,420,150,50,81.4601,0.0142917,0.0412452,0.0386821,35000,-34989,-4429.61,0,0,35000,0,0,35
250,-10,0.8,4,3.48633,270,420,150,50,81.4621,0.0142719,0.0412456,0.0386924,35000,-34989.7,-4429.74,0,0,35000,0,0,35
251,-10,0.8,4,3.48633,270,420,150,50,81.4641,0.0142522,0.041246,0.0387025,35000,-34990.5,-4429.87,0,0,35000,0,0,35
252,-10,0.8,4,3.48633,270,420,150,50,81.466,0.0142326,0.0412464,0.0387125,35000,-34991.2,-4429.99,0,0,35000,0,0,35
253,-10,0.8,4,3.48633,270,420,150,50,81.4678,0.0142131,0.0412467,0.0387225,35000,-34991.9,-4430.11,0,0,35000,0,0,35
254,-10,0.8,4,3.48633,270,420,150,50,81.4696,0.0141937,0.0412471,0.0387324,35000,-34992.6,-4430.23,0,0,35000,0,0,35
255,-10,0.8,4,3.48633,270,420,150,50,81.4714,0.0141743,0.0412475,0.0387422,35000,-34993.3,-4430.34,0,0,35000,0,0,35
256,-10,0.8,4,3.48633,270,420,150,50,81.4731,0.0141551,0.0412478,0.038752,35000,-34993.9,-4430.45,0,0,35000,0,0,35
257,-10,0.8,4,3.48633,270,420,150,50,81.4747,0.0141359,0.0412481,0.0387617,35000,-34994.6,-4430.56,0,0,35000,0,0,35
