minute,outside_temp_c,outside_rh,outside_reference_wind_speed_m_s,outside_local_wind_speed_m_s,outside_wind_direction_deg,outside_co2_ppm,outside_direct_radiation_w_m2,outside_diffuse_radiation_w_m2,inside_temp_c,inside_rh,total_airflow_m3_s,average_airflow_m3_s,heater_gain_w,envelope_loss_w,ventilation_loss_w,damper_power_w,fan_power_w,heater_power_w,damper_resource_rate_per_hour,fan_resource_rate_per_hour,heater_resource_rate_per_hour
287,35,0.8,4,3.48633,270,420,150,50,43.6845,0.46116,0.114072,0.11125,0,-3322.34,-1124.85,0,315,0,0,0.315,0
288,35,0.8,4,3.48633,270,420,150,50,43.6847,0.46152,0.114072,0.111259,0,-3322.42,-1124.87,0,315,0,0,0.315,0
289,35,0.8,4,3.48633,270,420,150,50,43.6849,0.461877,0.114072,0.111269,0,-3322.49,-1124.9,0,315,0,0,0.315,0
290,35,0.8,4,3.48633,270,420,150,50,43.6851,0.462231,0.114072,0.111279,0,-3322.57,-1124.93,0,315,0,0,0.315,0
291,35,0.8,4,3.48633,270,420,150,50,43.6853,0.462583,0.114073,0.111288,0,-3322.64,-1124.95,0,315,0,0,0.315,0
292,35,0.8,4,3.48633,270,420,150,50,43.6855,0.462933,0.114073,0.111298,0,-3322.71,-1124.98,0,315,0,0,0.315,0
293,35,0.8,4,3.48633,270,420,150,50,43.6856,0.463279,0.114073,0.111307,0,-3322.77,-1125,0,315,0,0,0.315,0
294,35,0.8,4,3.48633,270,420,150,50,43.6858,0.463624,0.114073,0.111317,0,-3322.84,-1125.02,0,315,0,0,0.315,0
295,35,0.8,4,3.48633,270,420,150,50,43.686,0.463966,0.114073,0.111326,0,-3322.9,-1125.05,0,315,0,0,0.315,0
296,35,0.8,4,3.48633,270,420,150,50,43.6861,0.464305,0.114074,0.111335,0,-3322.96,-1125.07,0,315,0,0,0.315,0
297,35,0.8,4,3.48633,270,420,150,50,43.6863,0.464642,0.114074,0.111344,0,-3323.02,-1125.09,0,315,0,0,0.315,0
298,35,0.8,4,3.48633,270,420,150,50,43.6864,0.464976,0.114074,0.111353,0,-3323.08,-1125.11,0,315,0,0,0.315,0
299,35,0.8,4,3.48633,270,420,150,50,43.6866,0.465308,0.114074,0.111363,0,-3323.13,-1125.13,0,315,0,0,0.315,0
300,35,0.8,4,3.48633,270,420,150,50,43.6867,0.465638,0.00907414,0.111023,0,-3323.19,-89.5012,0,0,0,0,0,0
